date,low,open,high,close,volume,adj_close,split_coeff,dividend
1995-01-03,37.88,38.88,38.88,38.38,927400.0,1.201,1.0,0.0
1995-01-04,38.63,38.63,39.63,39.38,1416800.0,1.2323,1.0,0.0
1995-01-05,38.75,39.25,39.38,38.88,657500.0,1.2167,1.0,0.0
1995-01-06,41.13,41.63,43.13,42.0,9612700.0,1.3143,1.0,0.0
1995-01-09,41.0,41.63,41.88,41.2,2447200.0,1.2893,1.0,0.0
1995-01-10,41.25,41.25,44.0,43.69,5489200.0,1.3672,1.0,0.0
1995-01-11,42.69,43.75,48.06,46.75,7802000.0,1.463,1.0,0.0
1995-01-12,44.75,46.13,46.38,45.38,4926600.0,1.4201,1.0,0.0
1995-01-13,44.38,46.13,46.13,44.88,3137300.0,1.4044,1.0,0.0
1995-01-16,44.25,44.88,45.25,44.5,1687300.0,1.3926,1.0,0.0
1995-01-17,44.13,44.5,45.5,45.0,2947400.0,1.4082,1.0,0.0
1995-01-18,44.75,45.0,45.63,45.63,1139800.0,1.4279,1.0,0.0
1995-01-19,45.0,45.5,46.0,45.88,2806200.0,1.4357,1.0,0.0
1995-01-20,42.5,47.0,47.0,42.63,8931800.0,1.334,1.0,0.0
1995-01-23,41.0,41.88,42.63,42.25,3558400.0,1.3221,1.0,0.0
1995-01-24,41.38,42.25,42.38,41.63,1947300.0,1.3027,1.0,0.0
1995-01-25,39.5,39.5,42.0,40.98,4616700.0,1.2824,1.0,0.0
1995-01-26,39.25,40.88,41.5,39.5,2199900.0,1.2361,1.0,0.0
1995-01-27,39.0,39.88,40.38,39.88,2665800.0,1.248,1.0,0.0
1995-01-30,39.88,40.13,40.5,40.13,2058800.0,1.2558,1.0,0.0
1995-01-31,40.0,40.5,40.88,40.38,1899800.0,1.2636,1.0,0.0
1995-02-01,39.88,40.75,40.75,40.13,1414000.0,1.2558,1.0,0.0
1995-02-02,40.13,40.13,41.88,41.63,1817700.0,1.3027,1.0,0.0
1995-02-03,40.38,42.0,42.13,40.5,2850100.0,1.2674,1.0,0.0
1995-02-06,39.5,40.75,40.75,40.5,2169900.0,1.2674,1.0,0.0
1995-02-07,40.0,40.38,41.0,40.81,1800000.0,1.2771,1.0,0.0
1995-02-08,40.88,41.0,42.38,42.31,3597000.0,1.324,1.0,0.0
1995-02-09,42.13,42.13,43.88,43.63,4244600.0,1.3653,1.0,0.0
1995-02-10,43.38,43.63,44.19,43.75,3133600.0,1.3691,1.0,0.0
1995-02-13,43.25,43.5,44.5,43.75,2530100.0,1.3728,1.0,0.12
1995-02-14,42.63,43.75,44.13,42.94,1478700.0,1.3474,1.0,0.0
1995-02-15,42.5,43.25,43.5,42.56,1647100.0,1.3355,1.0,0.0
1995-02-16,42.63,43.13,43.25,43.19,1953400.0,1.3553,1.0,0.0
1995-02-17,42.5,42.88,43.0,42.5,1087400.0,1.3336,1.0,0.0
1995-02-21,40.88,42.63,42.75,41.0,2692700.0,1.2865,1.0,0.0
1995-02-22,40.13,40.63,41.0,40.81,2619800.0,1.2806,1.0,0.0
1995-02-23,40.0,41.13,41.88,40.19,2809900.0,1.2611,1.0,0.0
1995-02-24,38.5,40.13,40.38,39.0,5078700.0,1.2238,1.0,0.0
1995-02-27,38.11,38.25,39.0,38.25,2400100.0,1.2003,1.0,0.0
1995-02-28,38.0,38.5,39.88,39.5,1990800.0,1.2395,1.0,0.0
1995-03-01,39.42,39.75,40.13,40.0,2004000.0,1.2552,1.0,0.0
1995-03-02,39.75,40.13,40.75,40.0,2399500.0,1.2552,1.0,0.0
1995-03-03,39.5,39.75,40.69,40.25,1301500.0,1.263,1.0,0.0
1995-03-06,39.5,39.75,40.0,39.75,1185000.0,1.2473,1.0,0.0
1995-03-07,38.25,39.88,39.88,38.31,1346300.0,1.2021,1.0,0.0
1995-03-08,37.75,38.75,40.13,39.56,3257800.0,1.2414,1.0,0.0
1995-03-09,39.38,39.88,40.38,39.75,1756100.0,1.2473,1.0,0.0
1995-03-10,39.38,39.63,40.38,39.5,1226900.0,1.2395,1.0,0.0
1995-03-13,38.0,39.63,39.63,38.13,2908500.0,1.1965,1.0,0.0
1995-03-14,34.5,38.25,38.25,35.0,6498800.0,1.0983,1.0,0.0
1995-03-15,34.88,35.5,36.25,35.0,6526500.0,1.0983,1.0,0.0
1995-03-16,35.0,35.25,36.0,35.25,2828000.0,1.1061,1.0,0.0
1995-03-17,34.88,35.5,35.5,35.13,1925400.0,1.1024,1.0,0.0
1995-03-20,35.0,35.13,35.63,35.25,1695400.0,1.1061,1.0,0.0
1995-03-21,35.25,35.5,36.75,36.25,2726500.0,1.1375,1.0,0.0
1995-03-22,36.25,36.25,39.5,38.06,4278100.0,1.1943,1.0,0.0
1995-03-23,36.98,37.88,38.0,37.13,1518700.0,1.1651,1.0,0.0
1995-03-24,37.25,37.38,37.88,37.75,1143900.0,1.1846,1.0,0.0
1995-03-27,36.63,37.63,37.63,37.19,1275000.0,1.167,1.0,0.0
1995-03-28,34.13,36.25,36.34,34.38,6158900.0,1.0788,1.0,0.0
1995-03-29,33.88,34.0,34.88,34.38,4436400.0,1.0788,1.0,0.0
1995-03-30,34.5,34.63,35.5,35.38,2441200.0,1.1102,1.0,0.0
1995-03-31,34.75,35.13,35.63,35.25,1636100.0,1.1061,1.0,0.0
1995-04-03,35.13,35.5,35.75,35.5,1377700.0,1.114,1.0,0.0
1995-04-04,33.63,35.75,35.88,33.88,3823200.0,1.0631,1.0,0.0
1995-04-05,33.75,34.13,34.75,34.75,2364800.0,1.0904,1.0,0.0
1995-04-06,35.53,37.25,38.0,36.75,6453800.0,1.1532,1.0,0.0
1995-04-07,36.25,37.0,37.13,36.75,2640400.0,1.1532,1.0,0.0
1995-04-10,36.13,36.88,37.0,36.63,1051800.0,1.1494,1.0,0.0
1995-04-11,36.63,36.75,37.88,37.75,1915300.0,1.1846,1.0,0.0
1995-04-12,37.38,38.25,39.63,39.0,4238500.0,1.2238,1.0,0.0
1995-04-13,37.88,39.25,39.25,38.25,1556800.0,1.2003,1.0,0.0
1995-04-17,37.88,38.13,39.38,38.38,1864400.0,1.2043,1.0,0.0
1995-04-18,37.5,38.5,38.63,37.5,2063700.0,1.1767,1.0,0.0
1995-04-19,35.63,37.5,37.5,36.38,2494900.0,1.1416,1.0,0.0
1995-04-20,36.63,37.13,38.5,37.63,2942000.0,1.1808,1.0,0.0
1995-04-21,37.13,37.25,39.5,39.13,5952000.0,1.2279,1.0,0.0
1995-04-24,38.5,39.0,39.63,39.0,2430700.0,1.2238,1.0,0.0
1995-04-25,37.25,39.13,39.38,37.75,2443200.0,1.1846,1.0,0.0
1995-04-26,37.38,37.63,38.75,38.25,2057500.0,1.2003,1.0,0.0
1995-04-27,37.75,38.5,38.5,37.88,1248800.0,1.1886,1.0,0.0
1995-04-28,37.5,38.0,38.38,38.25,1743900.0,1.2003,1.0,0.0
1995-05-01,38.0,38.25,38.75,38.25,1588900.0,1.2003,1.0,0.0
1995-05-02,37.5,38.25,38.38,38.13,1071500.0,1.1965,1.0,0.0
1995-05-03,38.0,38.25,38.63,38.13,1507000.0,1.1965,1.0,0.0
1995-05-04,38.0,38.25,39.88,38.5,2711100.0,1.2081,1.0,0.0
1995-05-05,38.13,38.75,39.13,38.88,1857200.0,1.22,1.0,0.0
1995-05-08,39.75,39.88,41.0,40.5,3455100.0,1.2709,1.0,0.0
1995-05-09,40.0,40.63,41.38,41.25,2883300.0,1.2944,1.0,0.0
1995-05-10,40.75,41.5,41.88,41.44,2456000.0,1.3004,1.0,0.0
1995-05-11,40.38,41.63,41.63,41.0,4675200.0,1.2865,1.0,0.0
1995-05-12,40.5,40.88,43.69,43.63,5785300.0,1.3691,1.0,0.0
1995-05-15,42.5,43.13,43.75,43.63,3512100.0,1.3691,1.0,0.0
1995-05-16,42.5,43.13,44.38,43.75,2968900.0,1.3728,1.0,0.0
1995-05-17,43.5,43.75,44.38,44.0,2349500.0,1.3807,1.0,0.0
1995-05-18,43.25,44.13,44.13,43.38,3317600.0,1.3612,1.0,0.0
1995-05-19,42.63,42.88,43.75,42.75,2880300.0,1.3415,1.0,0.0
1995-05-22,42.25,42.5,44.13,44.13,3320400.0,1.3848,1.0,0.0
1995-05-23,43.5,44.13,44.38,43.88,2470200.0,1.3769,1.0,0.0
1995-05-24,42.88,43.75,44.25,43.5,2363100.0,1.365,1.0,0.0
1995-05-25,43.0,43.25,44.0,43.38,1632700.0,1.3612,1.0,0.0
1995-05-26,42.25,43.0,43.13,42.69,1022800.0,1.3433,1.0,0.12
1995-05-30,41.5,42.63,42.88,42.0,1753400.0,1.3216,1.0,0.0
1995-05-31,41.0,42.13,42.13,41.56,1424400.0,1.3078,1.0,0.0
1995-06-01,41.75,41.88,42.5,42.19,1667200.0,1.3276,1.0,0.0
1995-06-02,41.5,41.88,42.38,42.13,943700.0,1.3257,1.0,0.0
1995-06-05,42.13,42.38,43.5,43.5,2273700.0,1.3688,1.0,0.0
1995-06-06,43.5,43.63,44.38,44.0,2814900.0,1.3846,1.0,0.0
1995-06-07,43.13,44.13,44.13,43.13,1111800.0,1.3572,1.0,0.0
1995-06-08,42.13,43.38,43.38,42.94,1215500.0,1.3512,1.0,0.0
1995-06-09,43.13,43.63,43.75,43.5,1666300.0,1.3688,1.0,0.0
1995-06-12,43.88,44.0,44.5,44.17,1893900.0,1.3899,1.0,0.0
1995-06-13,43.88,44.5,44.63,44.0,1124500.0,1.3846,1.0,0.0
1995-06-14,43.38,43.88,43.88,43.63,1054000.0,1.3729,1.0,0.0
1995-06-15,43.38,43.63,43.75,43.63,828200.0,1.3729,1.0,0.0
1995-06-16,43.5,43.88,44.0,43.88,796500.0,1.3808,1.0,0.0
1995-06-19,43.5,43.88,45.25,44.38,4192300.0,1.3965,1.0,0.0
1995-06-20,46.0,46.0,47.75,47.38,6594000.0,1.4909,1.0,0.0
1995-06-21,46.75,47.63,50.13,49.38,5589400.0,1.5539,1.0,0.0
1995-06-22,48.63,49.0,49.63,49.13,4231400.0,1.546,1.0,0.0
1995-06-23,47.75,48.75,49.0,48.75,2071100.0,1.534,1.0,0.0
1995-06-26,47.63,48.25,48.5,48.13,1364100.0,1.5145,1.0,0.0
1995-06-27,46.38,47.38,48.25,46.38,1938400.0,1.4595,1.0,0.0
1995-06-28,45.38,46.0,47.5,46.63,2378200.0,1.4673,1.0,0.0
