date,low,open,high,close,volume,adj_close,split_coeff,dividend
1995-01-03,24.88,25.25,25.63,25.0,598600.0,12.4966,1.0,0.0
1995-01-04,25.0,25.25,25.63,25.63,1178600.0,12.8115,1.0,0.0
1995-01-05,25.38,25.5,25.75,25.5,666200.0,12.7465,1.0,0.0
1995-01-06,25.0,25.63,27.88,27.88,4512800.0,13.9362,1.0,0.0
1995-01-09,28.5,28.75,29.13,28.88,2837400.0,14.436,1.0,0.0
1995-01-10,28.75,28.75,29.38,29.13,1818100.0,14.561,1.0,0.0
1995-01-11,28.13,29.25,29.25,28.63,1082900.0,14.3111,1.0,0.0
1995-01-12,29.75,29.75,32.0,31.75,5753200.0,15.8707,1.0,0.0
1995-01-13,31.13,31.5,31.75,31.5,1835400.0,15.7457,1.0,0.0
1995-01-16,31.25,31.38,32.13,31.88,1210000.0,15.9356,1.0,0.0
1995-01-17,31.25,31.88,32.13,31.5,1576200.0,15.7457,1.0,0.0
1995-01-18,31.5,31.75,32.25,32.13,2340600.0,16.0606,1.0,0.0
1995-01-19,31.63,31.88,32.13,32.0,1629700.0,15.9956,1.0,0.0
1995-01-20,31.25,31.88,32.0,31.38,1037800.0,15.6857,1.0,0.0
1995-01-23,30.38,30.5,30.88,30.75,1244600.0,15.3708,1.0,0.0
1995-01-24,30.63,30.63,31.25,31.13,528800.0,15.5607,1.0,0.0
1995-01-25,30.0,30.5,30.75,30.38,1843500.0,15.1858,1.0,0.0
1995-01-26,30.13,30.5,30.75,30.13,1023500.0,15.0609,1.0,0.0
1995-01-27,29.5,30.25,30.5,30.25,824600.0,15.1209,1.0,0.0
1995-01-30,29.63,30.38,30.38,29.75,734000.0,14.8709,1.0,0.0
1995-01-31,29.25,29.75,29.88,29.38,549300.0,14.686,1.0,0.0
1995-02-01,29.63,29.88,30.38,30.25,724700.0,15.1209,1.0,0.0
1995-02-02,29.75,30.13,31.0,30.88,1013200.0,15.4358,1.0,0.0
1995-02-03,31.25,31.5,32.0,31.38,2173700.0,15.6857,1.0,0.0
