date,low,open,high,close,volume,adj_close,split_coeff,dividend
2012-05-18,38.0,42.05,45.0,38.2318,573576400.0,38.2318,1.0,0.0
2012-05-21,33.0,36.53,36.66,34.03,168192700.0,34.03,1.0,0.0
2012-05-22,30.94,32.61,33.59,31.0,101786600.0,31.0,1.0,0.0
2012-05-23,31.36,31.37,32.5,32.0,73600000.0,32.0,1.0,0.0
2012-05-24,31.77,32.95,33.21,33.03,50237200.0,33.03,1.0,0.0
2012-05-25,31.11,32.9,32.95,31.91,37149800.0,31.91,1.0,0.0
2012-05-29,28.65,31.48,31.69,28.84,78063400.0,28.84,1.0,0.0
2012-05-30,27.86,28.695,29.55,28.19,57267900.0,28.19,1.0,0.0
2012-05-31,26.83,28.545,29.67,29.6,111639200.0,29.6,1.0,0.0
2012-06-01,27.39,28.892,29.15,27.72,41855500.0,27.72,1.0,0.0
2012-06-04,26.44,27.2,27.65,26.9,35230300.0,26.9,1.0,0.0
2012-06-05,25.75,26.7,27.76,25.869,42473400.0,25.869,1.0,0.0
2012-06-06,25.52,26.07,27.17,26.81,61489200.0,26.81,1.0,0.0
2012-06-07,26.15,27.0,27.35,26.31,26159500.0,26.31,1.0,0.0
2012-06-08,26.44,26.55,27.76,27.1,38034000.0,27.1,1.0,0.0
2012-06-11,26.835,27.18,28.07,27.005,28219600.0,27.005,1.0,0.0
2012-06-12,26.96,27.48,27.77,27.4,15816800.0,27.4,1.0,0.0
2012-06-13,27.1,27.66,28.1,27.27,17102800.0,27.27,1.0,0.0
2012-06-14,27.38,27.65,28.32,28.29,16855000.0,28.29,1.0,0.0
2012-06-15,28.35,28.505,30.1,30.014,43563800.0,30.014,1.0,0.0
2012-06-18,29.41,29.955,32.08,31.41,42978900.0,31.41,1.0,0.0
2012-06-19,30.7,31.535,32.18,31.911,30849000.0,31.911,1.0,0.0
2012-06-20,31.15,31.92,31.9288,31.6,15553600.0,31.6,1.0,0.0
2012-06-21,31.51,31.67,32.5,31.84,21875300.0,31.84,1.0,0.0
2012-06-22,32.06,32.41,33.45,33.05,74834000.0,33.05,1.0,0.0
2012-06-25,31.55,32.86,33.02,32.06,24352900.0,32.06,1.0,0.0
2012-06-26,32.5,32.69,33.44,33.1,24858700.0,33.1,1.0,0.0
2012-06-27,31.9,32.46,32.9,32.23,28568000.0,32.23,1.0,0.0
2012-06-28,30.9,31.96,32.19,31.36,17713300.0,31.36,1.0,0.0
2012-06-29,30.76,31.92,31.99,31.095,19526900.0,31.095,1.0,0.0
2012-07-02,30.55,31.25,31.73,30.771,14122000.0,30.771,1.0,0.0
2012-07-03,30.8,30.91,31.44,31.2,8763600.0,31.2,1.0,0.0
2012-07-05,31.02,31.32,31.625,31.47,10032100.0,31.47,1.0,0.0
2012-07-06,31.26,31.44,31.9,31.73,10945600.0,31.73,1.0,0.0
2012-07-09,31.99,32.1,32.88,32.17,17785200.0,32.17,1.0,0.0
2012-07-10,31.1599,32.43,32.48,31.47,14269500.0,31.47,1.0,0.0
2012-07-11,30.55,31.48,31.56,30.97,13030300.0,30.97,1.0,0.0
2012-07-12,30.6,30.7,31.4,30.81,11300700.0,30.81,1.0,0.0
2012-07-13,30.56,31.04,31.07,30.72,8108300.0,30.72,1.0,0.0
2012-07-16,28.21,30.5,30.5,28.245,24672100.0,28.245,1.0,0.0
2012-07-17,27.15,28.48,28.59,28.09,30438600.0,28.09,1.0,0.0
2012-07-18,28.15,28.31,29.29,29.11,16841800.0,29.11,1.0,0.0
2012-07-19,28.63,29.41,29.5,29.0,13685100.0,29.0,1.0,0.0
2012-07-20,28.72,29.0,29.47,28.76,11869100.0,28.76,1.0,0.0
2012-07-23,28.01,28.12,29.0,28.75,12390700.0,28.75,1.0,0.0
2012-07-24,28.1,28.82,29.45,28.45,11539800.0,28.45,1.0,0.0
2012-07-25,28.08,28.39,29.49,29.34,17230200.0,29.34,1.0,0.0
2012-07-26,26.73,27.75,28.23,26.845,64597400.0,26.845,1.0,0.0
2012-07-27,22.28,23.19,24.54,23.705,123102300.0,23.705,1.0,0.0
2012-07-30,23.03,23.995,24.04,23.15,29285900.0,23.15,1.0,0.0
2012-07-31,21.61,23.37,23.37,21.71,56179400.0,21.71,1.0,0.0
2012-08-01,20.84,21.5,21.58,20.88,44604400.0,20.88,1.0,0.0
2012-08-02,19.82,20.77,20.84,20.04,56374500.0,20.04,1.0,0.0
2012-08-03,19.9,20.36,22.16,21.09,80647000.0,21.09,1.0,0.0
2012-08-06,21.3,21.39,22.15,21.92,27778900.0,21.92,1.0,0.0
2012-08-07,20.5,22.2,22.45,20.72,36782900.0,20.72,1.0,0.0
2012-08-08,20.22,20.71,21.15,20.72,29537400.0,20.72,1.0,0.0
2012-08-09,20.61,20.75,21.17,21.01,15610700.0,21.01,1.0,0.0
2012-08-10,21.13,21.41,21.82,21.807,25794700.0,21.807,1.0,0.0
2012-08-13,21.4,22.15,22.45,21.6,24973100.0,21.6,1.0,0.0
2012-08-14,20.25,21.41,21.6,20.38,39308800.0,20.38,1.0,0.0
2012-08-15,20.4,20.64,21.41,21.2,47861100.0,21.2,1.0,0.0
2012-08-16,19.69,20.44,20.48,19.87,157565300.0,19.87,1.0,0.0
2012-08-17,19.0,20.005,20.08,19.05,129293400.0,19.05,1.0,0.0
2012-08-20,18.75,19.05,20.13,20.011,101186600.0,20.011,1.0,0.0
2012-08-21,19.09,19.58,19.98,19.159,70640600.0,19.159,1.0,0.0
2012-08-22,18.96,19.36,19.53,19.439,49892200.0,19.439,1.0,0.0
2012-08-23,19.36,19.5,19.73,19.44,32813700.0,19.44,1.0,0.0
2012-08-24,19.25,19.52,19.68,19.409,29622200.0,19.409,1.0,0.0
2012-08-27,19.1,19.49,19.53,19.15,20704000.0,19.15,1.0,0.0
2012-08-28,18.95,19.1,19.38,19.34,25417000.0,19.34,1.0,0.0
2012-08-29,19.07,19.32,19.38,19.1,16124700.0,19.1,1.0,0.0
2012-08-30,19.06,19.27,19.45,19.0885,30647500.0,19.0885,1.0,0.0
2012-08-31,18.03,18.68,18.7,18.058,58764200.0,18.058,1.0,0.0
2012-09-04,17.55,18.08,18.27,17.729,46622400.0,17.729,1.0,0.0
