date,low,open,high,close,volume,adj_close,split_coeff,dividend
1995-01-03,63.0,63.62,64.02,63.75,2607600.0,2.6208,1.0,0.0
1995-01-04,63.25,64.0,64.38,63.62,2616600.0,2.6155,1.0,0.0
1995-01-05,63.62,63.75,65.0,64.12,3780000.0,2.636,1.0,0.0
1995-01-06,64.0,64.12,65.12,65.0,3519800.0,2.6722,1.0,0.0
1995-01-09,64.88,64.88,66.0,66.0,4691000.0,2.7133,1.0,0.0
1995-01-10,66.0,66.38,67.38,66.62,6832500.0,2.7388,1.0,0.0
1995-01-11,66.0,66.88,67.38,66.25,3654300.0,2.7236,1.0,0.0
1995-01-12,65.56,66.12,67.62,67.12,5336500.0,2.7594,1.0,0.0
1995-01-13,67.5,67.62,68.5,68.12,7918100.0,2.8005,1.0,0.0
1995-01-16,67.75,68.5,68.5,68.12,3722800.0,2.8005,1.0,0.0
1995-01-17,66.88,68.12,69.38,67.0,7418500.0,2.7544,1.0,0.0
1995-01-18,68.25,68.25,69.62,69.38,11845000.0,2.8523,1.0,0.0
1995-01-19,69.0,69.25,70.75,70.69,9187000.0,2.9061,1.0,0.0
1995-01-20,68.64,70.38,70.62,68.81,9139600.0,2.8288,1.0,0.0
1995-01-23,68.0,68.38,70.62,70.38,6578800.0,2.8934,1.0,0.0
1995-01-24,69.88,70.62,71.69,71.5,6916000.0,2.9394,1.0,0.0
1995-01-25,69.5,70.0,71.75,70.88,9541000.0,2.9139,1.0,0.0
1995-01-26,70.0,70.62,71.25,70.44,4914600.0,2.8983,1.0,0.06
1995-01-27,70.25,70.5,71.5,71.0,5001700.0,2.9214,1.0,0.0
1995-01-30,69.88,71.12,71.12,70.0,4071100.0,2.8802,1.0,0.0
1995-01-31,68.98,69.88,70.0,69.38,5266600.0,2.8547,1.0,0.0
1995-02-01,69.12,69.38,71.0,70.62,4702100.0,2.9057,1.0,0.0
1995-02-02,70.5,70.5,72.27,72.19,5504100.0,2.9703,1.0,0.0
1995-02-03,72.0,72.75,74.12,73.5,8903700.0,3.0242,1.0,0.0
1995-02-06,73.38,73.38,74.38,73.62,3506200.0,3.0292,1.0,0.0
1995-02-07,72.62,73.62,73.75,73.0,2792200.0,3.0037,1.0,0.0
1995-02-08,74.0,74.12,76.88,76.62,8493800.0,3.1526,1.0,0.0
1995-02-09,76.62,76.62,78.75,77.5,7906100.0,3.1888,1.0,0.0
1995-02-10,77.12,77.38,78.5,77.38,5535400.0,3.1839,1.0,0.0
1995-02-13,76.75,77.38,78.0,77.12,3366500.0,3.1732,1.0,0.0
1995-02-14,77.12,77.12,78.5,78.5,4301500.0,3.23,1.0,0.0
1995-02-15,78.5,78.5,80.0,79.75,7122300.0,3.2814,1.0,0.0
1995-02-16,79.5,79.88,80.75,79.88,5937100.0,3.2867,1.0,0.0
1995-02-17,78.75,79.5,79.5,78.81,5057300.0,3.2427,1.0,0.0
1995-02-21,78.25,78.88,79.38,79.0,4223100.0,3.2505,1.0,0.0
1995-02-22,78.88,78.88,80.0,79.62,2755500.0,3.276,1.0,0.0
1995-02-23,78.0,80.0,80.62,78.06,5473600.0,3.2119,1.0,0.0
1995-02-24,77.19,78.0,78.75,78.5,4896600.0,3.23,1.0,0.0
1995-02-27,77.88,78.25,79.0,78.31,3221600.0,3.2221,1.0,0.0
1995-02-28,77.62,78.25,79.75,79.75,3386200.0,3.2814,1.0,0.0
1995-03-01,78.75,79.75,80.52,78.75,4083500.0,3.2402,1.0,0.0
1995-03-02,78.38,78.75,79.62,78.98,2445100.0,3.2497,1.0,0.0
1995-03-03,78.75,78.88,82.12,81.88,8803800.0,3.369,1.0,0.0
1995-03-06,81.0,81.5,82.75,82.25,5041500.0,3.3843,1.0,0.0
1995-03-07,80.12,82.0,82.12,80.38,5347700.0,3.3073,1.0,0.0
1995-03-08,79.25,80.25,80.88,79.75,5362800.0,3.2814,1.0,0.0
1995-03-09,79.12,80.0,80.88,80.19,5297600.0,3.2995,1.0,0.0
1995-03-10,80.0,80.0,80.62,80.5,3592300.0,3.3122,1.0,0.0
1995-03-13,80.38,80.5,82.0,81.38,4579200.0,3.3485,1.0,0.0
1995-03-14,81.62,81.62,82.88,82.38,4182600.0,3.3896,1.0,0.0
1995-03-15,81.5,82.38,82.75,81.88,2152200.0,3.369,1.0,0.0
1995-03-16,81.25,81.75,82.38,81.44,2156300.0,3.3509,1.0,0.0
1995-03-17,80.88,81.75,81.75,80.89,2382500.0,3.3283,1.0,0.0
1995-03-20,80.25,80.88,83.38,83.38,4172800.0,3.4307,1.0,0.0
1995-03-21,83.06,83.38,84.25,83.25,5221000.0,3.4254,1.0,0.0
1995-03-22,82.75,83.12,84.38,84.38,4351500.0,3.4719,1.0,0.0
1995-03-23,84.23,84.38,85.75,85.38,6875400.0,3.513,1.0,0.0
1995-03-24,85.62,85.75,87.12,86.12,6160200.0,3.5435,1.0,0.0
1995-03-27,86.0,86.12,87.75,87.5,4197600.0,3.6003,1.0,0.0
1995-03-28,88.12,88.25,89.5,88.5,5921900.0,3.6414,1.0,0.0
1995-03-29,85.5,88.5,90.0,87.06,10006400.0,3.5822,1.0,0.0
1995-03-30,83.75,87.12,87.25,85.38,10260800.0,3.513,1.0,0.0
1995-03-31,83.0,83.5,86.38,84.88,9416400.0,3.4925,1.0,0.0
1995-04-03,84.5,84.75,88.5,88.5,5900000.0,3.6414,1.0,0.0
1995-04-04,86.25,88.88,90.12,86.56,6270100.0,3.5616,1.0,0.0
1995-04-05,84.75,86.0,86.88,86.62,7450700.0,3.5641,1.0,0.0
1995-04-06,85.12,87.0,87.64,85.5,4943200.0,3.518,1.0,0.0
1995-04-07,85.0,85.5,87.69,87.12,5318200.0,3.5846,1.0,0.0
1995-04-10,86.5,87.0,88.5,88.5,4963200.0,3.6414,1.0,0.0
1995-04-11,90.62,90.75,92.0,91.25,10847600.0,3.7546,1.0,0.0
1995-04-12,90.25,91.38,91.88,91.75,5230000.0,3.7751,1.0,0.0
1995-04-13,92.12,92.12,95.12,95.0,7217000.0,3.9089,1.0,0.0
1995-04-17,93.5,95.12,97.5,94.0,9792200.0,3.8677,1.0,0.0
1995-04-18,93.25,96.38,96.5,94.31,10513600.0,3.8805,1.0,0.0
1995-04-19,91.88,94.0,94.5,93.31,5987200.0,3.8393,1.0,0.0
1995-04-20,92.38,93.88,94.12,93.0,4966800.0,3.8266,1.0,0.0
1995-04-21,92.38,93.12,94.25,92.88,5486700.0,3.8216,1.0,0.0
1995-04-24,92.38,92.75,96.75,96.5,6003300.0,3.9706,1.0,0.0
1995-04-25,96.5,96.5,98.75,98.25,8044300.0,4.0451,1.0,0.06
1995-04-26,97.38,97.62,100.62,99.62,6005000.0,4.1015,1.0,0.0
1995-04-27,99.48,99.5,102.0,100.62,5697100.0,4.1426,1.0,0.0
