date,low,open,high,close,volume,adj_close,split_coeff,dividend
1995-01-03,24.0,24.5,25.0,24.63,309100.0,5.0772,1.0,0.0
1995-01-04,24.13,24.75,24.75,24.13,107700.0,4.9741,1.0,0.0
1995-01-05,24.13,24.25,24.75,24.25,223500.0,4.9989,1.0,0.0
1995-01-06,22.75,23.25,24.13,24.13,450600.0,4.9741,1.0,0.0
1995-01-09,24.0,24.0,24.38,24.25,56100.0,4.9989,1.0,0.0
1995-01-10,24.0,24.25,24.63,24.5,93000.0,5.0504,1.0,0.0
1995-01-11,24.13,24.5,24.5,24.13,39800.0,4.9741,1.0,0.0
1995-01-12,23.88,24.25,24.5,24.0,39500.0,4.9473,1.0,0.0
1995-01-13,23.38,24.0,24.0,23.75,125100.0,4.8958,1.0,0.0
1995-01-16,23.5,23.75,24.13,23.75,55300.0,4.8958,1.0,0.0
1995-01-17,24.0,24.0,24.25,24.13,126000.0,4.9741,1.0,0.0
1995-01-18,24.13,24.13,24.5,24.38,82700.0,5.0257,1.0,0.0
1995-01-19,24.63,24.75,25.13,25.13,103800.0,5.1803,1.0,0.0
1995-01-20,24.75,24.88,25.25,24.88,109100.0,5.1288,1.0,0.0
1995-01-23,24.38,24.5,24.63,24.63,25800.0,5.0772,1.0,0.0
1995-01-24,24.63,24.63,26.88,26.63,237900.0,5.4895,1.0,0.0
1995-01-25,26.38,26.63,26.88,26.63,139500.0,5.4895,1.0,0.0
1995-01-26,25.88,26.63,26.63,25.88,59700.0,5.3349,1.0,0.0
1995-01-27,25.75,25.88,26.0,25.88,18000.0,5.3349,1.0,0.0
1995-01-30,25.75,26.0,26.13,25.88,12500.0,5.3349,1.0,0.0
1995-01-31,26.25,26.25,26.25,26.25,20000.0,5.4112,1.0,0.0
1995-02-01,26.25,26.25,26.75,26.38,115800.0,5.438,1.0,0.0
1995-02-02,25.75,26.38,26.38,26.0,47100.0,5.3596,1.0,0.0
1995-02-03,25.38,26.0,26.25,26.0,133000.0,5.3596,1.0,0.0
1995-02-06,25.75,25.75,26.13,26.13,26900.0,5.3864,1.0,0.0
1995-02-07,26.0,26.25,26.5,26.38,44100.0,5.438,1.0,0.0
1995-02-08,26.38,26.5,26.5,26.5,27000.0,5.4627,1.0,0.0
1995-02-09,26.5,26.5,26.75,26.63,35100.0,5.4895,1.0,0.0
1995-02-10,26.5,26.5,29.0,29.0,452600.0,5.978,1.0,0.0
1995-02-13,28.25,28.63,28.63,28.25,202400.0,5.8234,1.0,0.0
1995-02-14,27.75,28.13,28.13,28.0,84900.0,5.7719,1.0,0.0
1995-02-15,28.0,28.25,28.25,28.13,42400.0,5.7987,1.0,0.0
1995-02-16,27.88,27.88,28.0,28.0,47300.0,5.7719,1.0,0.0
1995-02-17,27.5,27.5,27.88,27.75,56700.0,5.7204,1.0,0.0
1995-02-21,27.75,27.88,28.0,28.0,43700.0,5.7719,1.0,0.0
1995-02-22,27.25,27.75,27.75,27.38,44300.0,5.6441,1.0,0.0
1995-02-23,26.88,27.13,27.38,27.0,28500.0,5.5658,1.0,0.0
1995-02-24,26.38,27.0,27.0,27.0,30400.0,5.5658,1.0,0.0
