date,low,open,high,close,volume,adj_close,split_coeff,dividend
2002-05-23,16.04,16.19,17.4,16.75,7485000.0,1.1964,1.0,0.0
2002-05-24,16.76,17.0,17.15,16.94,793200.0,1.21,1.0,0.0
2002-05-28,16.2,16.99,17.25,16.2,472100.0,1.1571,1.0,0.0
2002-05-29,15.2,16.3,16.3,15.45,482700.0,1.1036,1.0,0.0
2002-05-30,15.0,15.51,15.51,15.0,725300.0,1.0714,1.0,0.0
2002-05-31,15.0,15.1,15.1,15.07,604600.0,1.0764,1.0,0.0
2002-06-03,15.07,15.12,16.09,15.8,225100.0,1.1286,1.0,0.0
2002-06-04,15.55,15.9,15.96,15.65,221800.0,1.1179,1.0,0.0
2002-06-05,15.5,15.55,16.23,16.06,109400.0,1.1471,1.0,0.0
2002-06-06,16.08,16.1,17.25,16.55,164700.0,1.1821,1.0,0.0
2002-06-07,15.45,16.49,16.49,15.66,97800.0,1.1186,1.0,0.0
2002-06-10,15.89,15.89,16.45,16.19,34600.0,1.1564,1.0,0.0
2002-06-11,15.8,16.19,16.64,16.15,71700.0,1.1536,1.0,0.0
2002-06-12,15.25,16.15,16.55,15.3,128500.0,1.0929,1.0,0.0
2002-06-13,15.12,15.46,15.71,15.16,183400.0,1.0829,1.0,0.0
2002-06-14,13.72,15.15,15.2,13.81,341700.0,0.9864,1.0,0.0
2002-06-17,12.85,14.19,14.83,12.91,346800.0,0.9221,1.0,0.0
2002-06-18,11.79,13.14,13.15,12.75,772000.0,0.9107,1.0,0.0
2002-06-19,12.5,12.76,13.95,13.32,391600.0,0.9514,1.0,0.0
2002-06-20,13.3,13.6,14.56,13.4,436500.0,0.9571,1.0,0.0
2002-06-21,13.27,13.75,13.85,13.71,167600.0,0.9793,1.0,0.0
2002-06-24,13.4,13.71,14.2,13.7,183400.0,0.9786,1.0,0.0
2002-06-25,13.26,13.84,14.1,13.5,281500.0,0.9643,1.0,0.0
2002-06-26,12.9,13.49,13.95,13.84,208900.0,0.9886,1.0,0.0
2002-06-27,13.21,14.13,14.26,13.21,272700.0,0.9436,1.0,0.0
2002-06-28,13.45,13.45,14.19,13.99,659600.0,0.9993,1.0,0.0
2002-07-01,13.9,14.0,14.65,14.39,327500.0,1.0279,1.0,0.0
2002-07-02,14.55,14.75,16.74,16.42,644300.0,1.1729,1.0,0.0
2002-07-03,15.65,16.5,17.0,17.0,354100.0,1.2143,1.0,0.0
2002-07-05,16.99,17.0,18.19,17.87,143100.0,1.2764,1.0,0.0
2002-07-08,16.35,17.53,17.53,16.46,139500.0,1.1757,1.0,0.0
2002-07-09,15.6,16.45,16.75,16.25,209700.0,1.1607,1.0,0.0
2002-07-10,15.85,16.26,16.5,16.29,111000.0,1.1636,1.0,0.0
2002-07-11,15.86,16.16,17.9,17.77,180700.0,1.2693,1.0,0.0
2002-07-12,16.9,17.9,17.92,16.91,202700.0,1.2079,1.0,0.0
2002-07-15,15.07,17.4,17.48,16.0,302800.0,1.1429,1.0,0.0
2002-07-16,15.46,16.14,16.2,15.77,138700.0,1.1264,1.0,0.0
2002-07-17,15.06,16.03,16.29,15.25,90100.0,1.0893,1.0,0.0
2002-07-18,15.55,15.64,16.33,16.09,207100.0,1.1493,1.0,0.0
2002-07-19,15.71,16.14,16.25,16.24,128000.0,1.16,1.0,0.0
2002-07-22,15.62,15.9,16.51,16.39,142400.0,1.1707,1.0,0.0
