date,low,open,high,close,volume,adj_close,split_coeff,dividend
2012-04-12,32.0,33.25,34.21,34.0,654700.0,28.7529,1.0,0.0
2012-04-13,33.91,34.0,37.45,37.0,1685000.0,31.2899,1.0,0.0
2012-04-16,35.99,37.0,37.0,36.55,550200.0,30.9094,1.0,0.0
2012-04-17,36.0,36.4,36.75,36.0,179600.0,30.4443,1.0,0.0
2012-04-18,34.5,36.0,36.44,36.0,207100.0,30.4443,1.0,0.0
2012-04-19,35.8,36.0,37.22,36.0,598100.0,30.4443,1.0,0.0
2012-04-20,36.1,36.1,37.0,36.32,149700.0,30.7149,1.0,0.0
2012-04-23,35.42,36.24,36.24,35.68,95700.0,30.1737,1.0,0.0
2012-04-24,34.68,36.0,36.0,34.75,124500.0,29.3872,1.0,0.0
2012-04-25,34.5,34.8,35.5,34.75,266200.0,29.3872,1.0,0.0
2012-04-26,34.44,34.61,34.99,34.95,183900.0,29.5563,1.0,0.0
2012-04-27,33.97,35.25,35.25,34.11,536000.0,28.846,1.0,0.0
2012-04-30,34.0,34.34,34.9,34.05,4105700.0,28.7952,1.0,0.0
2012-05-01,32.58,33.74,34.1,32.76,6878600.0,27.7043,1.0,0.0
2012-05-02,31.63,32.6,32.665,32.0,11287600.0,27.0616,1.0,0.0
2012-05-03,31.05,31.93,31.98,31.39,11800000.0,26.5457,1.0,0.0
2012-05-04,30.12,30.85,31.09,30.16,10881000.0,25.5055,1.0,0.0
2012-05-07,29.25,30.1,30.55,29.35,12257200.0,24.8205,1.0,0.0
2012-05-08,28.75,29.09,30.41,30.1,14601300.0,25.4548,1.0,0.0
2012-05-09,29.73,29.81,32.89,32.49,13990000.0,27.476,1.0,0.0
2012-05-10,31.5199,33.05,33.35,32.48,8862000.0,27.4675,1.0,0.0
2012-05-11,31.4,31.73,32.15,31.83,4460100.0,26.9178,1.0,0.0
2012-05-14,30.765,31.19,31.58,31.32,6398200.0,26.4865,1.0,0.0
2012-05-15,31.06,31.35,32.32,31.67,6362800.0,26.7825,1.0,0.0
2012-05-16,31.25,31.46,32.39,32.1,6118600.0,27.1461,1.0,0.0
2012-05-17,31.2,31.89,32.0,31.26,5850500.0,26.4358,1.0,0.0
2012-05-18,30.99,31.43,31.685,31.38,7940800.0,26.5373,1.0,0.0
2012-05-21,30.95,31.23,32.34,32.19,5480100.0,27.2223,1.0,0.0
2012-05-22,31.33,31.88,32.27,31.63,5415000.0,26.7487,1.0,0.0
2012-05-23,30.88,31.35,31.49,31.41,5268900.0,26.5626,1.0,0.0
2012-05-24,30.75,31.42,31.44,31.13,4210400.0,26.3258,1.0,0.0
2012-05-25,30.83,31.01,31.41,31.3,3217900.0,26.4696,1.0,0.0
2012-05-29,30.86,31.28,31.72,31.01,3979600.0,26.2244,1.0,0.0
2012-05-30,30.175,30.79,30.83,30.44,6000600.0,25.7423,1.0,0.0
2012-05-31,29.72,30.26,30.35,30.03,8098000.0,25.3956,1.0,0.0
2012-06-01,29.38,29.5,30.17,29.92,5701700.0,25.3026,1.0,0.0
2012-06-04,29.25,29.3,30.19,29.53,4844900.0,24.9728,1.0,0.0
2012-06-05,29.3145,29.37,30.1,29.9,4046500.0,25.2857,1.0,0.0
2012-06-06,29.82,30.03,32.0,31.53,8609400.0,26.6641,1.0,0.0
2012-06-07,31.735,32.07,32.75,31.83,7694300.0,26.9178,1.0,0.0
2012-06-08,31.51,31.66,32.35,32.12,4302100.0,27.1631,1.0,0.0
2012-06-11,32.23,32.45,33.05,32.6,5999000.0,27.569,1.0,0.0
2012-06-12,32.49,32.56,33.7384,33.49,6809900.0,28.3216,1.0,0.0
2012-06-13,32.54,33.27,33.49,32.77,2876200.0,27.7127,1.0,0.0
2012-06-14,32.31,32.77,33.64,33.53,4460000.0,28.3555,1.0,0.0
2012-06-15,33.38,33.6,34.91,34.9,9892400.0,29.514,1.0,0.0
2012-06-18,33.83,34.38,34.5,33.86,4254400.0,28.6345,1.0,0.0
2012-06-19,33.73,34.06,34.53,33.86,4873500.0,28.6345,1.0,0.0
2012-06-20,33.48,33.79,34.85,34.66,4628400.0,29.3111,1.0,0.0
2012-06-21,33.06,34.7,34.76,33.48,3489900.0,28.3132,1.0,0.0
2012-06-22,33.03,33.65,34.71,34.16,4359500.0,28.8882,1.0,0.0
2012-06-25,32.76,33.69,33.69,32.87,3518600.0,27.7973,1.0,0.0
2012-06-26,32.4,32.81,33.98,32.58,3274700.0,27.5521,1.0,0.0
2012-06-27,31.42,32.61,33.4,31.89,3615600.0,26.9686,1.0,0.0
2012-06-28,31.29,31.54,32.4,32.31,3115900.0,27.3237,1.0,0.0
2012-06-29,32.646,32.78,33.38,33.24,4599500.0,28.1102,1.0,0.0
2012-07-02,33.37,33.59,34.32,34.0,3868500.0,28.7529,1.0,0.0
2012-07-03,33.83,34.02,34.63,34.24,3647400.0,28.9559,1.0,0.0
2012-07-05,33.54,33.83,34.24,33.8,2711300.0,28.5838,1.0,0.0
2012-07-06,32.92,33.4,33.68,33.37,1907800.0,28.2202,1.0,0.0
2012-07-09,32.65,33.08,33.76,33.25,2264600.0,28.1187,1.0,0.0
2012-07-10,32.5,33.47,33.47,32.68,2972900.0,27.6366,1.0,0.0
2012-07-11,32.35,32.66,33.64,33.48,2583000.0,28.3132,1.0,0.0
2012-07-12,32.55,33.15,33.19,33.01,3505600.0,27.9157,1.0,0.0
2012-07-13,33.51,33.61,35.08,34.94,4801300.0,29.5479,1.0,0.0
2012-07-16,34.56,34.69,36.12,36.1,4895700.0,30.5288,1.0,0.0
2012-07-17,35.86,36.16,36.8,36.69,3604100.0,31.0278,1.0,0.0
2012-07-18,36.59,36.65,37.67,37.1,2839200.0,31.3745,1.0,0.0
2012-07-19,35.49,36.81,37.0,35.6,3758600.0,30.2751,1.0,0.2
2012-07-20,34.91,35.18,35.44,35.32,3290000.0,30.037,1.0,0.0
2012-07-23,34.5,34.79,35.28,35.02,3245900.0,29.7819,1.0,0.0
2012-07-24,34.6135,35.25,35.42,35.23,2351600.0,29.9605,1.0,0.0
2012-07-25,34.87,35.6,35.89,35.4,3551300.0,30.1051,1.0,0.0
2012-07-26,35.5901,35.76,36.06,35.96,2951300.0,30.5813,1.0,0.0
2012-07-27,35.9,36.23,36.91,36.52,6158600.0,31.0575,1.0,0.0
2012-07-30,36.83,36.86,37.65,37.65,2830300.0,32.0185,1.0,0.0
2012-07-31,37.51,37.74,38.36,37.6,6958400.0,31.976,1.0,0.0
2012-08-01,37.78,39.08,40.18,38.27,6639700.0,32.5458,1.0,0.0
2012-08-02,37.84,37.94,39.07,38.3,4434800.0,32.5713,1.0,0.0
2012-08-03,38.6,38.6,39.85,39.67,4516000.0,33.7364,1.0,0.0
2012-08-06,39.77,39.94,40.35,40.07,3405100.0,34.0765,1.0,0.0
2012-08-07,39.59,40.39,40.83,39.77,4636800.0,33.8214,1.0,0.0
2012-08-08,39.46,39.6,40.2,40.15,4002600.0,34.1446,1.0,0.0
2012-08-09,39.88,39.9,40.6,40.32,2888200.0,34.2891,1.0,0.0
2012-08-10,39.75,40.26,40.43,40.0,2107700.0,34.017,1.0,0.0
2012-08-13,39.77,39.86,40.35,40.15,2213500.0,34.1446,1.0,0.0
2012-08-14,39.8,40.19,40.45,39.93,2533900.0,33.9575,1.0,0.0
2012-08-15,39.93,40.54,40.66,40.36,4009400.0,34.3232,1.0,0.0
2012-08-16,40.37,40.53,41.26,41.18,3862100.0,35.0205,1.0,0.0
2012-08-17,41.47,41.62,42.93,42.77,5536300.0,36.3727,1.0,0.0
2012-08-20,42.75,42.87,43.45,43.07,3809500.0,36.6278,1.0,0.0
2012-08-21,41.49,43.38,43.38,41.55,4469400.0,35.3352,1.0,0.0
2012-08-22,40.42,41.36,41.53,41.48,4384500.0,35.2756,1.0,0.0
2012-08-23,41.05,41.48,41.63,41.33,1996300.0,35.1481,1.0,0.0
2012-08-24,40.745,41.15,41.54,41.36,2562300.0,35.1736,1.0,0.0
2012-08-27,40.97,41.43,42.39,41.07,3779200.0,34.927,1.0,0.0
2012-08-28,40.9,40.9,42.47,41.96,3770300.0,35.6838,1.0,0.0
2012-08-29,41.65,41.9,42.39,41.98,2674300.0,35.7009,1.0,0.0
2012-08-30,41.62,41.79,42.7,42.48,2523800.0,36.1261,1.0,0.0
2012-08-31,41.1,42.7,43.0,42.0,5791200.0,35.7179,1.0,0.0
2012-09-04,41.48,42.07,42.45,42.41,2620700.0,36.0665,1.0,0.0
2012-09-05,41.43,42.49,42.58,41.74,2881800.0,35.4968,1.0,0.0
2012-09-06,42.16,42.16,43.74,43.42,4222200.0,36.9255,1.0,0.0
2012-09-07,43.36,43.48,44.31,44.26,3458100.0,37.6398,1.0,0.0
2012-09-10,43.93,43.93,44.85,44.54,4417300.0,37.8779,1.0,0.0
