date,low,open,high,close,volume,adj_close,split_coeff,dividend
1995-01-03,23.25,23.75,24.5,24.25,213100.0,1.1304,1.0,0.0
1995-01-04,24.0,24.5,25.0,24.5,243900.0,1.1421,1.0,0.0
1995-01-05,24.0,24.75,25.0,24.25,245600.0,1.1304,1.0,0.0
1995-01-06,24.0,24.25,24.5,24.06,318100.0,1.1216,1.0,0.0
1995-01-09,23.0,24.5,24.5,23.25,300800.0,1.0838,1.0,0.0
1995-01-10,22.25,23.25,23.75,23.25,740800.0,1.0838,1.0,0.0
1995-01-11,22.5,23.25,23.25,22.88,434200.0,1.0666,1.0,0.0
1995-01-12,22.5,23.25,23.25,22.5,347200.0,1.0489,1.0,0.0
1995-01-13,21.0,23.0,23.0,21.25,1612000.0,0.9906,1.0,0.0
1995-01-16,20.5,20.5,22.5,21.75,1332700.0,1.0139,1.0,0.0
1995-01-17,22.5,22.5,24.5,24.38,1588200.0,1.1365,1.0,0.0
1995-01-18,24.5,24.75,25.5,24.5,567500.0,1.1421,1.0,0.0
1995-01-19,24.25,24.75,24.75,24.25,198600.0,1.1304,1.0,0.0
1995-01-20,23.25,24.25,24.25,23.75,501700.0,1.1071,1.0,0.0
1995-01-23,22.75,23.25,25.25,25.0,386100.0,1.1654,1.0,0.0
1995-01-24,25.25,25.75,28.25,27.38,1844900.0,1.2764,1.0,0.0
1995-01-25,25.5,27.0,27.5,27.0,783000.0,1.2586,1.0,0.0
1995-01-26,26.75,26.75,28.5,28.13,1285800.0,1.3113,1.0,0.0
1995-01-27,27.75,28.5,29.0,28.5,933900.0,1.3286,1.0,0.0
1995-01-30,26.5,28.63,29.0,27.0,481000.0,1.2586,1.0,0.0
1995-01-31,26.25,26.25,26.5,26.5,871700.0,1.2353,1.0,0.0
1995-02-01,26.25,27.25,27.75,27.25,591000.0,1.2703,1.0,0.0
1995-02-02,27.0,27.5,28.0,27.25,331900.0,1.2703,1.0,0.0
1995-02-03,27.0,27.75,29.75,28.0,1729700.0,1.3053,1.0,0.0
