date,low,open,high,close,volume,adj_close,split_coeff,dividend
2001-07-13,70.58,72.3,73.59,72.65,201100.0,63.9237,1.0,0.0
2001-07-16,68.44,71.35,71.55,68.44,60000.0,60.2194,1.0,0.0
2001-07-17,67.9,67.95,71.25,71.25,95700.0,62.6918,1.0,0.0
2001-07-18,68.3,69.1,69.61,68.3,100600.0,60.0962,1.0,0.0
2001-07-19,71.2,72.4,72.7,71.2,135000.0,62.6479,1.0,0.0
2001-07-20,69.75,69.75,70.9,70.85,120000.0,62.3399,1.0,0.0
2001-07-23,68.7,71.25,71.25,68.7,65100.0,60.4481,1.0,0.0
2001-07-24,66.8,68.3,68.3,66.85,50100.0,58.8203,1.0,0.0
2001-07-25,65.65,66.6,67.85,65.65,59700.0,57.7645,1.0,0.0
2001-07-26,68.3,68.55,72.45,71.75,93900.0,63.1318,1.0,0.0
2001-07-27,72.5,72.5,74.2,73.41,40500.0,64.5924,1.0,0.0
2001-07-30,73.29,73.79,74.54,73.9,2600.0,65.0235,1.0,0.0
2001-07-31,73.9,75.4,75.4,73.9,50700.0,65.0235,1.0,0.0
2001-08-01,76.75,76.75,78.7,77.75,9500.0,68.4111,1.0,0.0
2001-08-02,79.15,79.7,79.95,79.25,21600.0,69.7309,1.0,0.0
2001-08-03,77.75,79.25,79.25,78.25,3200.0,68.851,1.0,0.0
2001-08-06,76.4,76.55,77.15,76.85,7300.0,67.6192,1.0,0.0
2001-08-07,75.0,75.05,75.66,75.66,6200.0,66.5721,1.0,0.0
2001-08-08,74.8,75.34,76.55,74.8,6300.0,65.8154,1.0,0.0
2001-08-09,72.0,72.0,72.75,72.44,1000.0,63.7389,1.0,0.0
2001-08-10,72.6,72.6,73.0,72.9,4200.0,64.1437,1.0,0.0
2001-08-13,74.1,74.5,74.8,74.65,8100.0,65.6835,1.0,0.0
2001-08-14,74.95,75.2,75.2,74.95,1400.0,65.9474,1.0,0.0
2001-08-15,72.02,73.75,73.75,72.02,2100.0,63.3694,1.0,0.0
2001-08-16,69.3,70.0,71.1,71.1,4500.0,62.5599,1.0,0.0
2001-08-17,68.6,70.0,70.0,68.6,500.0,60.3601,1.0,0.0
2001-08-20,68.6,68.6,68.6,68.6,10900.0,60.3601,1.0,0.0
2001-08-21,67.6,69.3,69.3,67.6,1400.0,59.4803,1.0,0.0
2001-08-22,67.5,68.19,69.7,69.7,2800.0,61.328,1.0,0.0
2001-08-23,69.93,70.11,70.99,70.05,1000.0,61.636,1.0,0.0
2001-08-24,71.0,71.27,73.45,73.07,400.0,64.2932,1.0,0.0
2001-08-27,73.5,73.5,75.39,74.7,4100.0,65.7275,1.0,0.0
2001-08-28,72.95,73.35,73.65,72.95,1000.0,64.1877,1.0,0.0
2001-08-29,70.4,73.3,73.3,70.4,300.0,61.9439,1.0,0.0
2001-08-30,67.5,68.5,68.5,68.5,1200.0,60.2722,1.0,0.0
2001-08-31,68.0,68.0,69.48,68.84,2000.0,60.5713,1.0,0.0
2001-09-04,67.0,68.6,69.47,67.0,1100.0,58.9523,1.0,0.0
2001-09-05,64.6,64.7,66.74,64.7,7500.0,56.9286,1.0,0.0
2001-09-06,61.4,64.0,65.0,61.7,264000.0,54.2889,1.0,0.0
2001-09-07,61.15,61.15,63.68,62.15,3300.0,54.6849,1.0,0.0
2001-09-10,61.84,61.84,62.74,62.09,1300.0,54.6321,1.0,0.0
2001-09-17,56.4,57.0,58.78,56.4,8200.0,49.6255,1.0,0.0
2001-09-18,55.51,56.25,56.72,56.72,400.0,49.9071,1.0,0.0
2001-09-19,47.7,51.95,51.95,51.95,13400.0,45.7101,1.0,0.0
2001-09-20,48.6,51.2,51.2,48.6,17000.0,42.7624,1.0,0.0
2001-09-21,45.4,48.3,48.3,46.25,3800.0,40.6947,1.0,0.0
2001-09-24,49.0,50.85,50.85,50.85,9500.0,44.7422,1.0,0.0
2001-09-25,50.85,50.85,50.85,50.85,4300.0,44.7422,1.0,0.0
2001-09-26,48.0,50.7,50.7,48.1,3200.0,42.3225,1.0,0.0
2001-09-27,44.89,46.0,46.65,46.65,1200.0,41.0467,1.0,0.0
2001-09-28,46.9,47.75,48.5,47.95,4800.0,42.1905,1.0,0.0
2001-10-01,46.35,47.2,47.2,46.35,1700.0,40.7827,1.0,0.0
2001-10-02,45.5,47.25,47.25,45.5,4300.0,40.0348,1.0,0.0
2001-10-03,44.9,50.35,50.35,49.85,4300.0,43.8623,1.0,0.0
2001-10-04,49.9,53.94,53.94,52.75,7600.0,46.414,1.0,0.0
2001-10-05,49.9,53.4,53.4,53.07,7900.0,46.6955,1.0,0.0
2001-10-08,51.9,55.7,55.7,55.2,16400.0,48.5697,1.0,0.0
2001-10-09,52.55,53.9,53.9,52.7,7400.0,46.37,1.0,0.0
2001-10-10,52.25,52.6,55.7,55.7,9400.0,49.0096,1.0,0.0
2001-10-11,57.79,57.79,60.83,60.64,20700.0,53.3563,1.0,0.0
2001-10-12,57.8,59.2,60.05,59.6,8800.0,52.4412,1.0,0.0
2001-10-15,57.96,59.15,59.15,58.35,2600.0,51.3413,1.0,0.0
2001-10-16,58.5,59.3,60.15,60.15,2200.0,52.9251,1.0,0.0
2001-10-17,57.7,61.65,61.8,57.7,5000.0,50.7694,1.0,0.0
2001-10-18,54.9,56.25,56.65,55.6,4400.0,48.9216,1.0,0.0
2001-10-19,54.45,54.45,56.04,56.04,2300.0,49.3088,1.0,0.0
2001-10-22,55.55,55.55,58.8,58.8,7700.0,51.7373,1.0,0.0
2001-10-23,58.41,59.4,60.26,58.55,1500.0,51.5173,1.0,0.0
2001-10-24,59.92,60.89,60.89,60.39,5600.0,53.1363,1.0,0.0
2001-10-25,58.35,59.1,63.0,63.0,3400.0,55.4328,1.0,0.0
2001-10-26,62.4,63.4,63.55,63.24,7500.0,55.644,1.0,0.0
2001-10-29,59.75,61.25,61.25,59.75,2500.0,52.5732,1.0,0.0
2001-10-30,56.03,57.55,57.55,56.15,5600.0,49.4056,1.0,0.0
2001-10-31,58.22,58.31,60.14,58.22,2700.0,51.2269,1.0,0.0
2001-11-01,59.35,59.35,61.94,61.8,1204300.0,54.3769,1.0,0.0
2001-11-02,61.51,62.95,62.99,62.4,705100.0,54.9049,1.0,0.0
2001-11-05,64.3,64.65,64.89,64.89,700.0,57.0958,1.0,0.0
2001-11-06,63.6,63.6,66.85,66.7,4500.0,58.6884,1.0,0.0
2001-11-07,66.06,67.91,67.91,67.18,48000.0,59.1107,1.0,0.0
2001-11-08,65.3,68.0,69.52,65.36,209100.0,57.5093,1.0,0.0
2001-11-09,65.26,66.02,66.6,65.89,69300.0,57.9757,1.0,0.0
2001-11-12,64.5,64.6,67.55,67.17,25600.0,59.1019,1.0,0.0
2001-11-13,68.92,69.7,70.4,70.15,6300.0,61.724,1.0,0.0
2001-11-14,68.9,72.0,72.0,70.5,20300.0,62.0319,1.0,0.0
2001-11-15,69.15,70.15,70.75,69.8,66800.0,61.416,1.0,0.0
2001-11-16,69.0,70.25,70.4,69.55,8200.0,61.196,1.0,0.0
2001-11-19,68.25,70.27,70.33,69.26,8100.0,60.9409,1.0,0.0
2001-11-20,65.33,68.35,68.5,65.33,9700.0,57.4829,1.0,0.0
2001-11-21,64.54,66.15,66.15,66.15,14100.0,58.2044,1.0,0.0
2001-11-23,66.15,67.41,67.41,67.25,4400.0,59.1723,1.0,0.0
2001-11-26,68.2,68.2,70.0,69.96,3100.0,61.5568,1.0,0.0
2001-11-27,67.97,68.4,71.69,70.03,14500.0,61.6184,1.0,0.0
2001-11-28,66.91,69.05,69.05,66.91,6200.0,58.8731,1.0,0.0
2001-11-29,66.65,67.3,68.84,68.74,6400.0,60.4833,1.0,0.0
2001-11-30,67.02,67.9,68.13,67.84,16800.0,59.6914,1.0,0.0
2001-12-03,66.65,67.93,67.93,66.95,3500.0,58.9083,1.0,0.0
2001-12-04,68.05,68.05,70.25,70.25,4800.0,61.812,1.0,0.0
2001-12-05,72.25,72.25,76.4,75.85,11000.0,66.7393,1.0,0.0
2001-12-06,74.56,76.31,76.31,75.35,9500.0,66.2994,1.0,0.0
2001-12-07,72.0,74.8,74.8,72.65,6400.0,63.9237,1.0,0.0
2001-12-10,70.97,72.4,72.4,71.1,44000.0,62.5599,1.0,0.0
2001-12-11,71.81,72.4,73.3,71.86,10200.0,63.2286,1.0,0.0
2001-12-12,71.25,72.65,72.93,71.65,1600.0,63.0438,1.0,0.0
2001-12-13,68.26,70.75,70.75,68.26,12200.0,60.061,1.0,0.0
2001-12-14,68.25,68.75,70.16,69.66,25300.0,61.2928,1.0,0.0
2001-12-17,70.49,70.63,71.55,71.2,10500.0,62.6479,1.0,0.0
2001-12-18,71.15,71.89,71.89,71.75,15000.0,63.1318,1.0,0.0
2001-12-19,68.05,69.0,69.92,68.05,173200.0,59.8762,1.0,0.0
2001-12-20,64.58,67.0,67.3,64.61,20800.0,56.8494,1.0,0.0
2001-12-21,65.6,66.0,66.24,66.24,8300.0,58.2836,1.0,0.0
2001-12-24,65.75,66.1,66.1,65.75,1500.0,57.8525,1.0,0.0
2001-12-26,66.12,67.09,67.62,66.55,11400.0,58.5564,1.0,0.0
2001-12-27,67.01,67.01,67.73,67.58,34600.0,59.4627,1.0,0.0
2001-12-28,67.7,68.4,68.88,68.15,44100.0,59.9642,1.0,0.0
2001-12-31,66.3,68.2,68.2,66.5,7700.0,58.5124,1.0,0.0
2002-01-02,67.4,67.9,69.2,69.2,69300.0,60.8881,1.0,0.0
2002-01-03,70.5,74.72,74.72,74.5,83900.0,65.5515,1.0,0.0
2002-01-04,72.9,75.99,75.99,74.24,37200.0,65.3227,1.0,0.0
2002-01-07,72.4,75.0,75.0,72.61,8300.0,63.8885,1.0,0.0
2002-01-08,71.95,72.46,73.99,72.8,26500.0,64.0557,1.0,0.0
2002-01-09,72.4,74.0,75.11,72.4,6400.0,63.7037,1.0,0.0
2002-01-10,71.47,72.11,72.46,71.58,10900.0,62.9822,1.0,0.0
2002-01-11,71.0,72.8,72.8,71.2,14600.0,62.6479,1.0,0.0
2002-01-14,69.76,71.0,71.03,69.81,17400.0,61.4248,1.0,0.0
2002-01-15,69.01,70.65,70.65,70.0,255100.0,61.592,1.0,0.0
2002-01-16,67.04,67.95,68.47,67.04,531600.0,58.9875,1.0,0.0
2002-01-17,66.95,68.1,68.75,68.65,8400.0,60.4041,1.0,0.0
2002-01-18,66.5,66.5,67.68,66.9,6000.0,58.8643,1.0,0.0
2002-01-22,63.9,67.3,67.3,63.9,5500.0,56.2247,1.0,0.0
2002-01-23,64.1,66.16,66.16,65.8,11500.0,57.8965,1.0,0.0
2002-01-24,66.4,66.4,67.72,66.82,9300.0,58.794,1.0,0.0
2002-01-25,66.5,66.77,68.0,67.47,1500.0,59.3659,1.0,0.0
2002-01-28,67.62,68.9,68.9,68.66,3100.0,60.4129,1.0,0.0
2002-01-29,66.88,69.75,69.75,67.08,9100.0,59.0227,1.0,0.0
2002-01-30,66.7,66.7,68.8,68.8,5600.0,60.5361,1.0,0.0
2002-01-31,68.43,70.0,70.0,69.34,4200.0,61.0113,1.0,0.0
2002-02-01,68.65,68.95,68.95,68.65,2400.0,60.4041,1.0,0.0
2002-02-04,66.9,68.75,68.75,67.37,4800.0,59.2779,1.0,0.0
